idSorteo,fecha,tipo,ganador,nuevo,n1,n2,n3,n4,n5,sb
1949,21/12/2019,Re,NO,SI,13,21,22,24,32,16
1948,18/12/2019,Tr,NO,SI,08,19,22,25,38,02
1948,18/12/2019,Re,NO,SI,06,07,15,38,40,16
1947,14/12/2019,Tr,NO,SI,11,21,33,39,43,08
1947,14/12/2019,Re,NO,SI,01,08,09,22,23,07
1946,11/12/2019,Tr,NO,SI,04,13,24,39,41,01
1946,11/12/2019,Re,NO,SI,08,15,26,32,37,03
1945,07/12/2019,Tr,NO,SI,12,15,16,38,39,10
1945,07/12/2019,Re,NO,SI,02,10,36,37,40,15
1944,04/12/2019,Tr,NO,SI,10,15,16,29,39,16
1944,04/12/2019,Re,NO,SI,02,04,18,28,33,11
1943,30/11/2019,Tr,NO,SI,02,03,18,21,36,13
1943,30/11/2019,Re,NO,SI,08,22,24,25,40,12
1942,27/11/2019,Tr,NO,SI,11,19,29,36,40,07
1942,27/11/2019,Re,NO,SI,08,18,22,23,28,11
1941,23/11/2019,Tr,NO,SI,17,18,20,27,29,11
1941,23/11/2019,Re,NO,SI,02,05,13,27,41,07
1940,20/11/2019,Tr,NO,SI,02,14,16,17,31,02
1940,20/11/2019,Re,NO,SI,01,10,15,20,28,15
1939,16/11/2019,Tr,NO,SI,03,07,23,30,35,05
1939,16/11/2019,Re,NO,SI,06,21,23,31,32,15
1938,13/11/2019,Tr,SI,SI,08,11,13,18,27,12
1938,13/11/2019,Re,NO,SI,08,14,20,23,28,07
1937,09/11/2019,Tr,NO,SI,02,10,16,23,25,11
1937,09/11/2019,Re,NO,SI,04,08,10,26,32,03
1936,06/11/2019,Tr,NO,SI,07,16,19,20,37,02
1936,06/11/2019,Re,NO,SI,11,18,30,40,42,10
1935,02/11/2019,Tr,NO,SI,02,03,04,12,16,10
1935,02/11/2019,Re,NO,SI,11,19,20,27,28,04
1934,30/10/2019,Tr,NO,SI,03,10,16,25,41,08
1934,30/10/2019,Re,NO,SI,07,18,21,23,28,13
1933,26/10/2019,Tr,NO,SI,02,11,24,28,39,03
1933,26/10/2019,Re,NO,SI,01,19,31,36,41,15
1932,23/10/2019,Tr,NO,SI,12,19,20,29,43,01
1932,23/10/2019,Re,NO,SI,01,12,23,29,38,09
1931,19/10/2019,Tr,NO,SI,04,08,19,20,35,09
1931,19/10/2019,Re,NO,SI,04,09,10,17,25,06
1930,16/10/2019,Tr,NO,SI,05,13,14,26,31,15
1930,16/10/2019,Re,NO,SI,03,20,24,37,38,11
1929,12/10/2019,Tr,NO,SI,02,08,09,12,39,13
1929,12/10/2019,Re,NO,SI,07,09,10,22,39,08
1928,09/10/2019,Tr,NO,SI,04,09,10,35,40,11
1928,09/10/2019,Re,NO,SI,02,07,26,32,33,12
1927,05/10/2019,Tr,NO,SI,19,23,26,30,36,11
1927,05/10/2019,Re,NO,SI,03,04,07,13,24,14
1926,02/10/2019,Tr,NO,SI,03,10,20,30,39,11
1926,02/10/2019,Re,NO,SI,04,08,14,29,41,10
1925,28/09/2019,Tr,NO,SI,01,09,27,29,35,13
1925,28/09/2019,Re,NO,SI,01,07,19,22,34,03
1924,25/09/2019,Tr,NO,SI,04,11,14,16,36,15
1924,25/09/2019,Re,NO,SI,09,10,14,41,42,11
1923,21/09/2019,Tr,NO,SI,21,23,26,37,43,11
1923,21/09/2019,Re,NO,SI,02,25,26,28,35,01
1922,18/09/2019,Tr,NO,SI,18,23,28,33,35,12
1922,18/09/2019,Re,NO,SI,14,20,23,33,38,10
1921,14/09/2019,Tr,NO,SI,01,19,31,37,39,11
1921,14/09/2019,Re,NO,SI,01,02,05,21,35,12
1920,11/09/2019,Tr,NO,SI,06,19,23,25,41,07
