idSorteo,fecha,tipo,ganador,nuevo,n1,n2,n3,n4,n5,sb
1740,20/12/2017,Tr,NO,SI,08,14,20,22,42,07
1740,20/12/2017,Re,NO,SI,20,28,30,31,41,09
1741,23/12/2017,Tr,NO,SI,06,08,13,29,31,13
1741,23/12/2017,Re,NO,SI,02,06,10,15,24,04
1742,27/12/2017,Tr,NO,SI,02,13,14,26,42,08
1742,27/12/2017,Re,NO,SI,07,21,32,33,34,09
1743,30/12/2017,Tr,NO,SI,14,30,35,37,40,14
1743,30/12/2017,Re,NO,SI,06,18,22,29,40,15
1744,03/01/2018,Tr,NO,SI,01,02,33,34,41,10
1744,03/01/2018,Re,NO,SI,19,26,27,30,32,15
1745,06/01/2018,Tr,NO,SI,01,02,04,05,13,10
1745,06/01/2018,Re,NO,SI,03,07,10,18,40,09
1746,10/01/2018,Tr,NO,SI,01,05,09,29,42,08
1746,10/01/2018,Re,NO,SI,11,13,17,25,38,06
1747,13/01/2018,Tr,NO,SI,07,10,24,31,43,05
1747,13/01/2018,Re,NO,SI,06,09,29,32,33,03
1748,17/01/2018,Tr,NO,SI,06,17,23,27,32,07
1748,17/01/2018,Re,NO,SI,02,06,08,24,37,03
1749,20/01/2018,Tr,NO,SI,02,06,16,23,43,01
1749,20/01/2018,Re,NO,SI,10,24,36,38,42,04
1750,24/01/2018,Tr,NO,SI,06,11,12,17,40,14
1750,24/01/2018,Re,NO,SI,01,11,21,37,38,06
1751,27/01/2018,Tr,NO,SI,12,13,15,18,31,01
1751,27/01/2018,Re,NO,SI,02,06,14,15,39,04
1752,31/01/2018,Tr,NO,SI,12,19,27,28,41,04
1752,31/01/2018,Re,SI,SI,25,29,32,35,41,13
1753,03/02/2018,Tr,NO,SI,01,04,14,21,42,16
1753,03/02/2018,Re,NO,SI,12,16,22,31,32,15
1754,07/02/2018,Tr,NO,SI,04,23,27,29,34,12
1754,07/02/2018,Re,NO,SI,03,05,17,30,37,08
1755,10/02/2018,Tr,NO,SI,05,06,14,16,35,09
1755,10/02/2018,Re,NO,SI,02,19,27,37,40,04
1756,14/02/2018,Tr,NO,SI,09,12,18,32,38,07
1756,14/02/2018,Re,NO,SI,05,24,29,41,43,06
1757,17/02/2018,Tr,NO,SI,10,23,25,26,33,01
1757,17/02/2018,Re,NO,SI,16,23,28,30,40,12
1758,21/02/2018,Tr,NO,SI,18,34,37,39,41,02
1758,21/02/2018,Re,NO,SI,03,14,26,31,40,06
1759,24/02/2018,Tr,NO,SI,05,06,09,39,42,16
1759,24/02/2018,Re,NO,SI,01,12,20,25,35,04
1760,28/02/2018,Tr,NO,SI,07,16,18,37,40,08
1760,28/02/2018,Re,NO,SI,10,18,21,22,33,13
1761,03/03/2018,Tr,NO,SI,15,28,31,32,35,12
1761,03/03/2018,Re,NO,SI,02,11,19,21,23,08
1762,07/03/2018,Tr,NO,SI,08,23,24,32,36,13
1762,07/03/2018,Re,NO,SI,20,23,26,34,37,12
1763,10/03/2018,Tr,NO,SI,04,17,27,28,42,04
1763,10/03/2018,Re,NO,SI,04,07,17,18,20,09
1764,14/03/2018,Tr,NO,SI,06,20,25,27,43,04
1764,14/03/2018,Re,NO,SI,13,20,26,36,40,14
1765,17/03/2018,Tr,NO,SI,07,17,18,30,33,03
1765,17/03/2018,Re,NO,SI,06,08,12,17,31,02
1766,21/03/2018,Tr,NO,SI,10,14,18,20,33,06
1766,21/03/2018,Re,NO,SI,01,03,06,18,20,16
1767,24/03/2018,Tr,NO,SI,17,26,28,29,42,11
1767,24/03/2018,Re,NO,SI,08,17,20,21,32,07
1768,28/03/2018,Tr,NO,SI,03,11,18,24,37,11
1768,28/03/2018,Re,NO,SI,01,04,36,37,43,14
1769,31/03/2018,Tr,NO,SI,09,15,19,27,30,02
1769,31/03/2018,Re,NO,SI,10,12,17,20,32,14
1770,04/04/2018,Tr,NO,SI,04,07,10,36,41,04
1770,04/04/2018,Re,NO,SI,04,22,29,32,40,03
1771,07/04/2018,Tr,NO,SI,13,15,24,33,40,09
1771,07/04/2018,Re,NO,SI,10,14,30,37,42,01
1772,11/04/2018,Tr,NO,SI,07,20,36,42,43,07
1772,11/04/2018,Re,NO,SI,10,11,15,23,38,12
